-0.035918,-0.37044,-1.0014,-1.3106,-1.2397,8.0846
0.040204,-0.37445,-0.93984,-1.3054,-1.2056,8.4319
0.13263,-0.23324,-0.77088,-1.1734,-1.0193,8.9144
0.074633,-0.20062,-0.75565,-1.2332,-1.0058,9.4152
0.023357,-0.29178,-0.85391,-1.3701,-1.1315,9.9756
0.054034,-0.37418,-0.91174,-1.399,-1.1806,10.672
0.08197,-0.34978,-0.92401,-1.2713,-1.1738,11.443
0.085848,-0.2448,-0.87395,-1.1107,-1.1511,12.366
0.10093,-0.088678,-0.75054,-0.93784,-1.0538,13.372
0.12929,-0.015425,-0.69648,-0.95183,-0.92346,14.417
0.14467,-0.053256,-0.74046,-0.99333,-0.8856,15.542
0.12003,-0.14886,-0.73975,-1.0246,-0.86374,16.53
0.057581,-0.25212,-0.67854,-1.0079,-0.8563,17.417
0.065186,-0.27457,-0.64423,-0.91728,-0.82481,18.337
0.1045,-0.23226,-0.62366,-0.86883,-0.84627,19.198
0.10558,-0.18931,-0.60028,-0.86511,-0.84967,19.922
0.14705,-0.16486,-0.58375,-0.90741,-0.82112,20.521
0.09254,-0.19826,-0.60154,-0.93845,-0.80827,21.024
0.062001,-0.24739,-0.60653,-0.90308,-0.86651,21.514
0.084545,-0.24023,-0.61871,-0.8529,-0.84357,22.045
0.20342,-0.19872,-0.59447,-0.88594,-0.77243,22.407
0.20119,-0.22362,-0.6003,-0.96741,-0.79355,22.52
0.17568,-0.22126,-0.57342,-1.0059,-0.86147,22.488
0.14936,-0.14079,-0.52654,-0.94107,-0.91242,22.498
0.1592,-0.11112,-0.55056,-0.89368,-0.88127,22.554
0.12768,-0.13914,-0.64376,-0.85666,-0.82449,22.603
0.040886,-0.18722,-0.7109,-0.81557,-0.79721,22.333
0.065569,-0.16109,-0.69004,-0.67016,-0.78547,21.974
0.14326,-0.17696,-0.67906,-0.75243,-0.79067,21.616
0.12578,-0.23541,-0.71883,-0.79506,-0.80583,21.207
0.09807,-0.19603,-0.68214,-0.80241,-0.75073,20.758
0.070103,-0.17653,-0.65085,-0.78196,-0.74548,20.229
0.038863,-0.19416,-0.58194,-0.75791,-0.75459,19.523
0.019663,-0.21016,-0.55437,-0.75091,-0.7376,18.774
0.079772,-0.19061,-0.54766,-0.80177,-0.69937,18.13
0.072092,-0.2619,-0.5768,-0.88984,-0.78465,17.418
0.014419,-0.37309,-0.6183,-0.91138,-0.86779,16.455
0.033231,-0.30649,-0.59652,-0.84775,-0.81872,15.611
0.10705,-0.16892,-0.54182,-0.79969,-0.69399,14.843
0.14488,-0.13279,-0.55047,-0.67008,-0.62835,14.098
0.15819,-0.094708,-0.52288,-0.59734,-0.58749,13.357
0.090256,-0.10204,-0.52143,-0.62684,-0.6605,12.595
0.012485,-0.14075,-0.52398,-0.63297,-0.70722,11.783
-0.015563,-0.20949,-0.53426,-0.67128,-0.76311,10.867
0.061308,-0.19465,-0.51386,-0.74742,-0.68377,10.073
0.11985,-0.17065,-0.51834,-0.73667,-0.62245,9.3429
0.12568,-0.21299,-0.51859,-0.73452,-0.60614,8.5915
0.091209,-0.25497,-0.45526,-0.76788,-0.64257,7.7926
0.052822,-0.25416,-0.39364,-0.82254,-0.67345,7.0224
0.016158,-0.22534,-0.40635,-0.82273,-0.67725,6.3642
-0.03752,-0.20869,-0.46405,-0.80237,-0.69718,5.7363
-0.033558,-0.18754,-0.47708,-0.73542,-0.68664,5.1644
0.016733,-0.24439,-0.4711,-0.68322,-0.64972,4.6046
0.0078984,-0.26639,-0.45984,-0.64408,-0.59707,4.075
-0.037403,-0.28775,-0.52533,-0.64055,-0.60707,3.5317
-0.097301,-0.32806,-0.61112,-0.69591,-0.67874,3.0346
-0.055352,-0.36689,-0.62447,-0.68214,-0.67455,2.6568
-0.00087222,-0.34774,-0.55131,-0.63295,-0.63804,2.3905
0.13167,-0.26484,-0.46092,-0.59967,-0.59427,2.1993
0.1695,-0.24562,-0.44764,-0.63847,-0.55691,1.9865
