#o1 m1_ver m2_pos m2_ang m2_ver m_ang m_f b_shut bv_siz
#o2 bv_cen bh_siz bh_cen shtr smode f1 f2 f3
#o3 f4 f5 f6 atten cv_siz cv_cen ch_siz ch_cen
#o4 dv_siz dv_cen dh_siz dh_cen vac_v vac_h vac_t vac_r
#o5 vac_s samp_h samp_v sphi sx sy wt_dov wt_div
#o6 wt_ucv wt_doh wt_uch wt_ucz st_h st_v sd_h sd_v
#o7 bsx bsy bsr gcnm1 gcnm2 gcnm3 

#J0 Seconds  IC_cntr1  cntr2  BS_cntr3  Temp1  Temp2  Temp3  Temp5
#J1 mV_in4  mV_in5  mV_in6  TopPos  Load  BotPos  OneMHz_exp  OneMHz_det
#J2 CryoStatus  SRcurrent  CryoTemp  CryoLevel  CrystTemp  Pulse  Encoder  GasCartTemp1
#J3 GasCartTemp2  GasCartTemp3  GasCartTemp4  GasCartTemp5  GasCartPress3  GasCartFlow1  
#j0 sec cntr1 cntr2 cntr3 t1 t2 t3 t5
#j1 mV4 mV5 mV6 tpos load bpos omhze omhzd
#j2 CS_tf SR_mA CT_K CL_p XT_K pulse encoder gctc1
#j3 gctc2 gctc3 gctc4 gctc5 gcgp3 gcfv1 

#C Fri Mar 29 09:02:25 2019.  for mcsscan, non-EPICS_SC controller counters will be set to 0.

#S 173  mcsscan 10 3 -3.15
#D Fri Mar 29 09:02:26 2019
#T 3  (Seconds)
#G0 0
#G1 0
#G3 0
#G4 0
#Q 
22.05 0 284.087 3.15 22 2209.392 2205.324 2004.1432 4821.956 0 4.54 3164.04 0 0.227 67.506721 3150008 3150006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1210599 903379
25.2 0 287.237 3.15 22 2209.391 2205.32 2004.1432 4821.958 0 4.25 3164.44 0 0.2125 67.515255 3150006 3150006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1212915 906443
28.35 0 290.387 3.15 22 2209.39 2205.325 2004.1416 4821.96 0 4.08 3163.68 0 0.204 67.49904 3150008 3150006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1214149 906792
#C Fri Mar 29 09:10:13 2019.  for mcsscan, non-EPICS_SC controller counters will be set to 0.

#S 175  mcsscan 10 3 -3.15
#D Fri Mar 29 09:10:14 2019
#T 3  (Seconds)
#G0 0
#G1 0
#G3 0
#G4 0
#Q 
#P0 0 17030.37 1 17000.845 17000.845 109 0 3.30029
#P1 -6.75 -8.2665 -3.21839 -6.75 0.04094 -1.59851 1 0.25
#P2 -4.0081 0.25 -0.5051 1 0 0 0 0
#P3 0 0 0 0 0.26 -1.3446 0.26 1.4569
#P4 0.59965 0.0208 0.6 0.0676 0 0 -30.0038 336
#P5 0.4995 -0.73914 -7.52094 0 2.1175 1.7858 0.384375 3.52
#P6 1.469375 -6.91 -4.275 -0.005 0 0 0.97155 0
#P7 0.989 7.74 10.4 -15.8006 12.5546 16.8921 
#N 33
